Event,Name,Stroke,Time1,Time2,Time3
0,Emma,freestyle,00:50:313667,00:50:875398,00:50:646837
0,Emma,backstroke,00:56:720191,00:56:431243,00:56:941068
0,Emma,butterfly,00:41:927947,00:42:062812,00:42:007531
0,Emma,breaststroke,00:59:825463,00:59:397469,00:59:385919
0,Olivia,freestyle,00:45:566228,00:46:066985,00:46:044389
0,Olivia,backstroke,00:53:984872,00:54:575110,00:54:932723
0,Olivia,butterfly,01:12:548582,01:12:722369,01:13:105429
0,Olivia,breaststroke,00:49:230921,00:49:604561,00:49:120964
0,Sophia,freestyle,00:55:209625,00:54:790225,00:55:351528
0,Sophia,backstroke,00:45:236934,00:45:590178,00:45:397853
0,Sophia,butterfly,00:59:759540,00:59:920355,00:59:576989
0,Sophia,breaststroke,00:59:930751,01:00:200055,01:00:382663
0,Ava,freestyle,01:06:215970,01:06:443121,01:06:628715
0,Ava,backstroke,01:12:330658,01:13:056774,01:12:283593
0,Ava,butterfly,00:41:830549,00:42:389155,00:42:581063
0,Ava,breaststroke,00:49:520594,00:49:421166,00:49:631659
0,Isabella,freestyle,00:43:765925,00:44:222031,00:44:383384
0,Isabella,backstroke,01:07:401539,01:07:439096,01:07:800558
0,Isabella,butterfly,01:00:566173,01:00:167859,01:00:285536
0,Isabella,breaststroke,01:04:195998,01:04:139671,01:04:850802
0,Mia,freestyle,01:02:431027,01:02:331599,01:02:367739
0,Mia,backstroke,01:07:263072,01:07:183198,01:07:310495
0,Mia,butterfly,01:10:777971,01:10:476777,01:10:532418
0,Mia,breaststroke,00:56:501751,00:56:265916,00:56:618886
0,Abigail,freestyle,01:06:689970,01:06:740301,01:06:050534
0,Abigail,backstroke,01:01:988810,01:02:422029,01:02:062273
0,Abigail,butterfly,00:54:601381,00:54:531919,00:54:322800
0,Abigail,breaststroke,00:48:124280,00:47:908176,00:48:130944
0,Emily,freestyle,00:58:643109,00:59:058691,00:58:547913
0,Emily,backstroke,00:40:878186,00:40:917276,00:41:136988
0,Emily,butterfly,01:02:791104,01:03:031419,01:02:786640
0,Emily,breaststroke,01:09:468694,01:08:915608,01:09:029606
0,Charlotte,freestyle,00:59:981614,01:00:328054,01:00:029067
0,Charlotte,backstroke,00:55:805306,00:55:274372,00:55:152726
0,Charlotte,butterfly,00:48:230217,00:48:597282,00:48:217275
0,Charlotte,breaststroke,00:57:870012,00:57:945859,00:58:786793
0,Harper,freestyle,00:49:129333,00:48:770098,00:49:482825
0,Harper,backstroke,00:54:942205,00:54:532404,00:54:039925
0,Harper,butterfly,01:07:482786,01:06:839586,01:07:319933
0,Harper,breaststroke,00:54:772223,00:54:835462,00:54:888618
0,Madison,freestyle,00:43:408283,00:43:430692,00:43:627812
0,Madison,backstroke,00:57:735904,00:57:718760,00:58:480951
0,Madison,butterfly,00:47:932476,00:47:977998,00:48:195331
0,Madison,breaststroke,00:57:561194,00:56:983667,00:57:675573
0,Amelia,freestyle,00:52:483964,00:52:747365,00:52:381518
0,Amelia,backstroke,00:59:964109,01:00:046286,01:00:501981
0,Amelia,butterfly,01:00:758419,00:59:930350,01:00:125559
0,Amelia,breaststroke,01:08:648671,01:09:041506,01:08:817433
0,Elizabeth,freestyle,00:51:292819,00:50:873833,00:50:919499
0,Elizabeth,backstroke,00:43:453577,00:43:512467,00:43:530221
0,Elizabeth,butterfly,00:52:822253,00:52:696300,00:52:789665
0,Elizabeth,breaststroke,00:45:230197,00:45:975576,00:45:505959
0,Sofia,freestyle,01:07:819619,01:07:461776,01:07:709620
0,Sofia,backstroke,01:03:591710,01:02:848725,01:03:317529
0,Sofia,butterfly,00:57:479912,00:58:089346,00:57:905050
0,Sofia,breaststroke,00:57:057187,00:57:609762,00:57:846102
0,Evelyn,freestyle,00:41:157310,00:41:616367,00:41:725346
0,Evelyn,backstroke,01:07:415144,01:07:455901,01:07:125279
0,Evelyn,butterfly,00:54:856012,00:54:819717,00:54:972240
0,Evelyn,breaststroke,01:12:794737,01:13:602405,01:13:418237
0,Avery,freestyle,00:54:216367,00:54:312936,00:53:936136
0,Avery,backstroke,01:03:795913,01:04:655687,01:04:543842
0,Avery,butterfly,00:48:273950,00:48:040850,00:47:596580
0,Avery,breaststroke,00:36:542282,00:36:618501,00:36:303954
0,Chloe,freestyle,01:09:313131,01:09:479841,01:09:518975
0,Chloe,backstroke,01:14:153770,01:14:015154,01:14:175250
0,Chloe,butterfly,01:09:331716,01:09:491105,01:10:261541
0,Chloe,breaststroke,00:59:299648,01:00:030516,00:59:555858
0,Ella,freestyle,01:03:611990,01:02:801656,01:03:455192
0,Ella,backstroke,00:55:687418,00:55:099216,00:55:158281
0,Ella,butterfly,00:53:251485,00:53:584144,00:53:625873
0,Ella,breaststroke,01:00:061723,00:59:559518,00:59:738944
0,Grace,freestyle,00:59:273393,00:59:055264,00:59:447538
0,Grace,backstroke,00:37:052796,00:37:226639,00:36:860638
0,Grace,butterfly,01:13:005465,01:13:367851,01:12:857138
0,Grace,breaststroke,00:46:732729,00:46:702604,00:46:471751
0,Victoria,freestyle,00:55:824113,00:55:448859,00:56:360042
0,Victoria,backstroke,00:42:522298,00:42:604750,00:42:477061
0,Victoria,butterfly,01:05:801767,01:06:047244,01:06:083017
0,Victoria,breaststroke,01:09:575104,01:10:022949,01:09:938712
0,Aubrey,freestyle,00:42:655824,00:43:462437,00:42:935327
0,Aubrey,backstroke,00:44:658096,00:44:226106,00:44:191489
0,Aubrey,butterfly,00:59:080425,00:59:500102,00:59:700865
0,Aubrey,breaststroke,01:01:146941,01:00:703737,01:00:621840
0,Scarlett,freestyle,01:06:046037,01:05:820853,01:06:648674
0,Scarlett,backstroke,00:57:041622,00:57:355295,00:57:509112
0,Scarlett,butterfly,00:55:064240,00:55:211709,00:54:645727
0,Scarlett,breaststroke,01:06:173331,01:06:426491,01:06:421791
0,Zoey,freestyle,00:49:471817,00:49:349123,00:49:069990
0,Zoey,backstroke,00:52:056650,00:51:947216,00:51:929830
0,Zoey,butterfly,00:43:334206,00:43:749971,00:43:547581
0,Zoey,breaststroke,00:53:261446,00:52:889708,00:53:138545
0,Addison,freestyle,00:37:784096,00:37:814092,00:38:159773
0,Addison,backstroke,00:40:015255,00:40:059929,00:40:175733
0,Addison,butterfly,01:00:087696,00:59:580315,00:59:443269
0,Addison,breaststroke,01:09:021146,01:09:365194,01:09:268005
0,Lily,freestyle,00:48:599314,00:48:568751,00:48:603470
0,Lily,backstroke,01:03:296110,01:03:127044,01:03:093911
0,Lily,butterfly,00:53:791799,00:53:903830,00:53:652463
0,Lily,breaststroke,01:13:347080,01:13:770152,01:14:189919
0,Lillian,freestyle,00:40:624609,00:40:161315,00:40:375959
0,Lillian,backstroke,00:56:547890,00:57:252689,00:56:834050
0,Lillian,butterfly,00:50:305052,00:50:108503,00:50:576702
0,Lillian,breaststroke,00:52:383021,00:52:219000,00:52:420418
0,Natalie,freestyle,00:43:596890,00:43:569973,00:42:968182
0,Natalie,backstroke,00:59:667160,00:59:506522,00:59:950238
0,Natalie,butterfly,00:50:474038,00:50:363092,00:50:157892
0,Natalie,breaststroke,00:58:250581,00:58:572329,00:58:957761
0,Hannah,freestyle,01:04:969638,01:04:963802,01:04:506536
0,Hannah,backstroke,00:51:352734,00:51:284798,00:51:302747
0,Hannah,butterfly,00:57:691058,00:57:920967,00:57:085996
0,Hannah,breaststroke,01:01:138698,01:02:043607,01:01:555003
0,Aria,freestyle,00:53:247875,00:53:100431,00:53:226449
0,Aria,backstroke,00:54:692851,00:54:479111,00:54:192614
0,Aria,butterfly,00:59:611639,00:59:696583,00:59:756462
0,Aria,breaststroke,00:54:598877,00:55:137606,00:55:330501
0,Layla,freestyle,00:50:025639,00:49:935161,00:49:836937
0,Layla,backstroke,01:01:783429,01:01:654028,01:01:802284
0,Layla,butterfly,00:45:230869,00:45:647560,00:45:072069
0,Layla,breaststroke,00:46:189740,00:46:228928,00:46:569395
0,Brooklyn,freestyle,01:04:974240,01:04:615218,01:04:585114
0,Brooklyn,backstroke,00:58:103547,00:58:617523,00:57:836145
0,Brooklyn,butterfly,00:54:831933,00:54:900716,00:54:766904
0,Brooklyn,breaststroke,00:53:948358,00:53:978617,00:53:772774
0,Alexa,freestyle,00:48:890932,00:48:309247,00:48:708417
0,Alexa,backstroke,00:50:687992,00:50:393803,00:51:186810
0,Alexa,butterfly,00:39:787692,00:39:415102,00:39:139928
0,Alexa,breaststroke,00:55:875685,00:55:887697,00:56:121764
0,Zoe,freestyle,00:43:094307,00:43:285447,00:42:384783
0,Zoe,backstroke,00:53:461886,00:52:721933,00:52:811559
0,Zoe,butterfly,01:13:153083,01:13:649626,01:13:337576
0,Zoe,breaststroke,00:48:133517,00:47:583624,00:47:930870
0,Penelope,freestyle,00:50:461657,00:51:024441,00:50:453611
0,Penelope,backstroke,00:50:902325,00:51:151912,00:51:094257
0,Penelope,butterfly,00:41:076284,00:40:960091,00:41:253636
0,Penelope,breaststroke,00:49:570204,00:49:047049,00:49:708261
0,Riley,freestyle,00:59:592723,00:59:684609,01:00:085657
0,Riley,backstroke,00:58:797063,00:58:952043,00:58:665823
0,Riley,butterfly,00:51:637303,00:52:198113,00:52:509574
0,Riley,breaststroke,01:08:957365,01:09:168071,01:09:370677
0,Leah,freestyle,00:45:446449,00:44:863978,00:45:239857
0,Leah,backstroke,00:51:894287,00:51:697550,00:52:101359
0,Leah,butterfly,00:36:989777,00:36:128169,00:36:442117
0,Leah,breaststroke,01:05:831334,01:05:816853,01:06:240818
0,Audrey,freestyle,00:57:623328,00:58:460167,00:57:887891
0,Audrey,backstroke,00:53:830697,00:54:643849,00:54:203451
0,Audrey,butterfly,00:44:048854,00:44:395969,00:44:127407
0,Audrey,breaststroke,01:00:178253,00:59:636973,00:59:662403
0,Savannah,freestyle,00:51:260085,00:50:908696,00:51:150088
0,Savannah,backstroke,01:08:543652,01:08:637962,01:09:045340
0,Savannah,butterfly,00:56:810382,00:56:555850,00:56:754976
0,Savannah,breaststroke,01:16:462601,01:16:443035,01:15:942836
0,Allison,freestyle,01:11:629346,01:11:670394,01:11:121554
0,Allison,backstroke,01:10:004996,01:10:377762,01:10:035622
0,Allison,butterfly,01:02:466188,01:02:968178,01:02:651547
0,Allison,breaststroke,01:11:219218,01:11:456956,01:10:982202
0,Samantha,freestyle,00:50:126060,00:50:013411,00:49:905606
0,Samantha,backstroke,00:57:467238,00:57:722365,00:58:176118
0,Samantha,butterfly,00:43:711194,00:43:799381,00:43:722534
0,Samantha,breaststroke,00:53:839632,00:53:633224,00:53:538563
1,Emma,freestyle,00:39:358520,00:38:855561,00:39:124352
1,Emma,backstroke,01:05:859064,01:05:329367,01:05:784789
1,Emma,butterfly,00:41:867347,00:42:156352,00:42:038496
1,Emma,breaststroke,00:57:343418,00:58:210665,00:57:529398
1,Olivia,freestyle,00:38:112216,00:38:315605,00:37:548865
1,Olivia,backstroke,00:55:124636,00:55:292504,00:55:382131
1,Olivia,butterfly,01:01:184296,01:01:238115,01:01:049519
1,Olivia,breaststroke,00:47:577645,00:47:482872,00:47:610929
1,Sophia,freestyle,00:59:095593,00:58:849613,00:58:872400
1,Sophia,backstroke,00:38:905835,00:39:191657,00:39:305191
1,Sophia,butterfly,01:09:123909,01:08:285808,01:09:196102
1,Sophia,breaststroke,01:15:761253,01:15:605032,01:15:208369
1,Ava,freestyle,00:59:546895,00:59:289342,00:59:658661
1,Ava,backstroke,01:10:675807,01:10:942099,01:11:450906
1,Ava,butterfly,00:42:171959,00:42:314042,00:42:568972
1,Ava,breaststroke,00:46:975204,00:47:036587,00:46:955692
1,Isabella,freestyle,00:54:865193,00:54:388228,00:54:276413
1,Isabella,backstroke,01:04:528507,01:05:183103,01:04:730922
1,Isabella,butterfly,01:01:999991,01:01:216120,01:01:525413
1,Isabella,breaststroke,00:56:865910,00:56:127627,00:57:053606
1,Mia,freestyle,01:08:654255,01:08:388904,01:08:098751
1,Mia,backstroke,01:02:701662,01:02:974304,01:03:052949
1,Mia,butterfly,01:06:730213,01:07:560908,01:06:805455
1,Mia,breaststroke,00:49:920390,00:50:117547,00:49:927681
1,Abigail,freestyle,00:55:638033,00:56:054404,00:55:754655
1,Abigail,backstroke,01:05:948202,01:06:322562,01:05:985863
1,Abigail,butterfly,01:00:756505,01:01:201681,01:00:829832
1,Abigail,breaststroke,01:01:654709,01:01:034149,01:01:772394
1,Emily,freestyle,00:56:404881,00:56:520713,00:56:633111
1,Emily,backstroke,00:40:636062,00:41:190897,00:41:036044
1,Emily,butterfly,00:59:568116,00:59:585818,00:59:442455
1,Emily,breaststroke,01:10:573585,01:10:058379,01:10:899567
1,Charlotte,freestyle,01:06:408357,01:06:968726,01:06:731703
1,Charlotte,backstroke,01:06:039711,01:05:809732,01:06:071674
1,Charlotte,butterfly,00:52:362611,00:51:781447,00:52:193447
1,Charlotte,breaststroke,00:56:135255,00:56:101651,00:55:874695
1,Harper,freestyle,01:07:526652,01:06:772522,01:06:899794
1,Harper,backstroke,00:58:633188,00:59:091291,00:58:402078
1,Harper,butterfly,01:06:420015,01:07:202592,01:06:603023
1,Harper,breaststroke,00:58:529913,00:58:386822,00:58:908415
1,Madison,freestyle,00:47:964491,00:48:488734,00:47:650611
1,Madison,backstroke,01:05:344525,01:05:741026,01:05:094838
1,Madison,butterfly,00:40:416207,00:40:692918,00:40:982386
1,Madison,breaststroke,00:48:293109,00:48:321359,00:48:100816
1,Amelia,freestyle,00:59:190195,00:58:425541,00:59:276179
1,Amelia,backstroke,00:52:475639,00:52:183503,00:51:782090
1,Amelia,butterfly,00:57:921353,00:57:836929,00:57:262231
1,Amelia,breaststroke,00:56:554134,00:57:467228,00:56:895550
1,Elizabeth,freestyle,00:44:928400,00:44:721328,00:44:490171
1,Elizabeth,backstroke,00:50:672950,00:50:754960,00:50:906947
1,Elizabeth,butterfly,00:46:079562,00:45:772059,00:46:255941
1,Elizabeth,breaststroke,00:46:999519,00:47:163413,00:47:204288
1,Sofia,freestyle,01:09:250792,01:09:476866,01:09:764890
1,Sofia,backstroke,01:07:738528,01:07:813407,01:07:914201
1,Sofia,butterfly,00:54:565917,00:53:981588,00:54:615570
1,Sofia,breaststroke,01:11:328509,01:11:125116,01:11:501621
1,Evelyn,freestyle,00:35:173740,00:34:858299,00:34:268399
1,Evelyn,backstroke,01:15:605657,01:15:669757,01:15:362372
1,Evelyn,butterfly,00:51:207287,00:51:129436,00:51:434106
1,Evelyn,breaststroke,01:13:214724,01:13:348538,01:13:309094
1,Avery,freestyle,00:51:403969,00:51:362019,00:52:038871
1,Avery,backstroke,00:56:979545,00:57:313300,00:57:492461
1,Avery,butterfly,00:45:382852,00:45:389600,00:45:349652
1,Avery,breaststroke,00:47:947089,00:48:149001,00:48:178200
1,Chloe,freestyle,01:05:291636,01:05:534072,01:05:908669
1,Chloe,backstroke,01:07:834038,01:07:491224,01:07:862998
1,Chloe,butterfly,01:04:185314,01:04:340349,01:04:218993
1,Chloe,breaststroke,01:04:557653,01:04:925025,01:04:537156
1,Ella,freestyle,01:03:634326,01:04:054573,01:03:893094
1,Ella,backstroke,00:56:200638,00:56:460960,00:56:593301
1,Ella,butterfly,00:51:452532,00:51:172019,00:51:417908
1,Ella,breaststroke,01:07:413741,01:08:174620,01:07:508938
1,Grace,freestyle,00:53:882999,00:53:731331,00:54:114438
1,Grace,backstroke,00:46:683514,00:47:004369,00:46:940384
1,Grace,butterfly,00:56:349149,00:56:667369,00:56:899927
1,Grace,breaststroke,00:55:119308,00:55:298803,00:54:989699
1,Victoria,freestyle,01:01:449363,01:02:179252,01:01:534888
1,Victoria,backstroke,00:56:118231,00:56:023555,00:56:198566
1,Victoria,butterfly,00:55:730779,00:55:612606,00:55:396096
1,Victoria,breaststroke,01:12:094590,01:11:664603,01:12:485567
1,Aubrey,freestyle,00:43:838526,00:43:257655,00:43:718200
1,Aubrey,backstroke,00:56:631703,00:56:444146,00:56:900961
1,Aubrey,butterfly,00:53:484978,00:52:747442,00:52:794360
1,Aubrey,breaststroke,00:57:189404,00:57:874929,00:57:298473
1,Scarlett,freestyle,01:01:596685,01:01:698371,01:02:345503
1,Scarlett,backstroke,00:46:619247,00:47:426786,00:47:429571
1,Scarlett,butterfly,00:45:643015,00:45:749160,00:45:739284
1,Scarlett,breaststroke,01:17:550733,01:17:232483,01:16:955350
1,Zoey,freestyle,00:51:908038,00:51:527688,00:51:365749
1,Zoey,backstroke,00:56:955843,00:56:867466,00:56:721233
1,Zoey,butterfly,00:54:962691,00:54:884132,00:54:507132
1,Zoey,breaststroke,01:03:740124,01:03:173075,01:03:900813
1,Addison,freestyle,00:41:878954,00:42:472556,00:42:418318
1,Addison,backstroke,00:55:564536,00:56:081212,00:55:723452
1,Addison,butterfly,00:53:467589,00:53:476126,00:52:618232
1,Addison,breaststroke,01:08:073652,01:07:623632,01:08:222065
1,Lily,freestyle,00:40:340406,00:40:488554,00:40:970865
1,Lily,backstroke,01:00:715901,01:00:470171,01:00:315074
1,Lily,butterfly,00:58:916265,00:59:008311,00:58:538590
1,Lily,breaststroke,00:58:120580,00:58:452852,00:58:156093
1,Lillian,freestyle,00:56:204035,00:55:713459,00:55:469668
1,Lillian,backstroke,00:58:337711,00:58:207538,00:58:532342
1,Lillian,butterfly,00:48:440156,00:49:219744,00:48:517330
1,Lillian,breaststroke,00:49:400675,00:49:598003,00:48:762967
1,Natalie,freestyle,00:56:525728,00:56:010257,00:56:432480
1,Natalie,backstroke,01:10:707497,01:09:899022,01:10:073896
1,Natalie,butterfly,00:50:075284,00:49:736305,00:49:918700
1,Natalie,breaststroke,00:56:179988,00:56:227784,00:56:687635
1,Hannah,freestyle,01:08:012408,01:08:311650,01:08:003110
1,Hannah,backstroke,00:54:080036,00:54:926009,00:54:266501
1,Hannah,butterfly,01:11:327835,01:11:641282,01:10:930986
1,Hannah,breaststroke,00:54:160062,00:54:657428,00:54:390962
1,Aria,freestyle,01:01:801218,01:02:363751,01:02:239553
1,Aria,backstroke,00:56:018054,00:56:154981,00:55:594460
1,Aria,butterfly,01:10:924309,01:11:218352,01:11:025801
1,Aria,breaststroke,00:46:661130,00:47:327739,00:47:076438
1,Layla,freestyle,00:53:954647,00:53:821052,00:54:090720
1,Layla,backstroke,01:01:179341,01:01:103498,01:00:858203
1,Layla,butterfly,00:39:088118,00:38:531197,00:38:337141
1,Layla,breaststroke,00:40:783483,00:40:854182,00:40:921936
1,Brooklyn,freestyle,01:03:388932,01:03:029283,01:03:885845
1,Brooklyn,backstroke,00:55:633003,00:56:206494,00:55:897538
1,Brooklyn,butterfly,00:59:782275,00:59:234231,00:59:649848
1,Brooklyn,breaststroke,00:55:561697,00:56:033354,00:55:589470
1,Alexa,freestyle,00:48:631456,00:48:623212,00:48:505808
1,Alexa,backstroke,00:55:840553,00:56:525548,00:56:234115
1,Alexa,butterfly,00:47:368869,00:47:528884,00:47:183096
1,Alexa,breaststroke,00:55:657803,00:55:632000,00:56:185293
1,Zoe,freestyle,00:48:326108,00:49:172070,00:48:244422
1,Zoe,backstroke,00:56:587582,00:56:598532,00:56:315518
1,Zoe,butterfly,00:57:898459,00:57:708037,00:57:205917
1,Zoe,breaststroke,00:52:925723,00:53:656317,00:53:495880
1,Penelope,freestyle,00:57:301573,00:57:376619,00:57:330949
1,Penelope,backstroke,00:51:927214,00:51:152625,00:52:083905
1,Penelope,butterfly,00:52:340441,00:52:339472,00:52:336717
1,Penelope,breaststroke,00:56:312857,00:55:892768,00:56:487536
1,Riley,freestyle,00:53:124181,00:52:670537,00:52:815061
1,Riley,backstroke,01:03:975520,01:04:851459,01:03:954579
1,Riley,butterfly,01:04:437915,01:04:912539,01:04:684822
1,Riley,breaststroke,01:10:640125,01:10:500839,01:10:658290
1,Leah,freestyle,00:43:036123,00:42:978310,00:42:165638
1,Leah,backstroke,00:52:391089,00:52:540697,00:53:222636
1,Leah,butterfly,00:50:334510,00:51:091176,00:50:381037
1,Leah,breaststroke,00:56:848147,00:56:435319,00:56:499529
1,Audrey,freestyle,00:55:998085,00:55:674249,00:55:735419
1,Audrey,backstroke,00:40:782006,00:40:903527,00:40:705801
1,Audrey,butterfly,00:48:893130,00:49:531649,00:49:854933
1,Audrey,breaststroke,00:48:244348,00:48:292295,00:48:316216
1,Savannah,freestyle,00:42:278375,00:42:783163,00:42:598191
1,Savannah,backstroke,01:15:547949,01:16:265977,01:15:957449
1,Savannah,butterfly,01:06:672723,01:06:348142,01:05:943633
1,Savannah,breaststroke,01:03:773418,01:03:919964,01:03:803221
1,Allison,freestyle,01:11:268896,01:11:225921,01:11:061214
1,Allison,backstroke,01:00:173591,01:00:257440,01:00:006006
1,Allison,butterfly,01:13:746449,01:13:572012,01:13:366144
1,Allison,breaststroke,00:59:249161,00:58:810039,00:59:154460
1,Samantha,freestyle,01:02:949922,01:03:502658,01:02:909158
1,Samantha,backstroke,01:02:407057,01:02:469444,01:02:695943
1,Samantha,butterfly,00:48:589109,00:48:006349,00:48:017222
1,Samantha,breaststroke,00:33:932013,00:34:387609,00:33:914880
2,Emma,freestyle,00:53:654410,00:53:275204,00:53:011105
2,Emma,backstroke,00:59:708500,00:59:952363,01:00:164906
2,Emma,butterfly,00:44:716918,00:44:433108,00:44:492563
2,Emma,breaststroke,01:09:489993,01:10:003478,01:09:265574
2,Olivia,freestyle,00:47:800251,00:47:788904,00:47:911108
2,Olivia,backstroke,00:49:350028,00:49:776552,00:49:102378
2,Olivia,butterfly,01:07:844386,01:07:379066,01:07:683057
2,Olivia,breaststroke,00:58:517408,00:58:889488,00:59:194772
2,Sophia,freestyle,01:11:525666,01:11:579561,01:11:500512
2,Sophia,backstroke,00:39:416551,00:39:111741,00:39:601639
2,Sophia,butterfly,00:54:471525,00:54:459853,00:55:012106
2,Sophia,breaststroke,01:11:805110,01:11:663116,01:11:732695
2,Ava,freestyle,00:57:883538,00:58:685093,00:58:495709
2,Ava,backstroke,01:00:057035,01:00:085779,01:00:572420
2,Ava,butterfly,00:41:956502,00:41:811577,00:42:459508
2,Ava,breaststroke,00:43:726920,00:43:346598,00:43:552751
2,Isabella,freestyle,00:43:461696,00:43:811625,00:43:647269
2,Isabella,backstroke,00:52:756783,00:52:840596,00:52:835172
2,Isabella,butterfly,00:58:504801,00:58:693447,00:58:674098
2,Isabella,breaststroke,00:59:736278,00:59:203550,00:59:146113
2,Mia,freestyle,01:07:471913,01:07:733803,01:07:487729
2,Mia,backstroke,01:05:278406,01:05:442262,01:05:264984
2,Mia,butterfly,01:16:457526,01:16:072360,01:16:390180
2,Mia,breaststroke,01:06:597572,01:07:511460,01:06:981365
2,Abigail,freestyle,00:59:618534,00:59:515440,00:59:589508
2,Abigail,backstroke,01:12:695802,01:12:796765,01:12:392136
2,Abigail,butterfly,00:43:992190,00:43:704138,00:44:265658
2,Abigail,breaststroke,00:44:332472,00:44:551754,00:44:508323
2,Emily,freestyle,00:56:200820,00:56:214952,00:56:449708
2,Emily,backstroke,00:46:532175,00:46:157258,00:46:429787
2,Emily,butterfly,00:58:709705,00:59:368531,00:59:352096
2,Emily,breaststroke,01:12:605476,01:13:393997,01:13:307663
2,Charlotte,freestyle,01:12:150924,01:11:879437,01:11:971666
2,Charlotte,backstroke,01:12:979313,01:13:392025,01:13:682787
2,Charlotte,butterfly,00:46:103533,00:46:587813,00:45:743841
2,Charlotte,breaststroke,00:50:300901,00:50:342708,00:50:308689
2,Harper,freestyle,00:58:280881,00:58:694309,00:58:545309
2,Harper,backstroke,00:52:838761,00:52:558306,00:52:560620
2,Harper,butterfly,01:00:521598,01:00:286533,01:00:202264
2,Harper,breaststroke,01:03:063139,01:02:644909,01:03:040370
2,Madison,freestyle,00:45:384768,00:45:335461,00:45:298215
2,Madison,backstroke,01:01:796879,01:02:491879,01:02:314502
2,Madison,butterfly,00:56:676133,00:56:596892,00:56:400517
2,Madison,breaststroke,00:49:126069,00:48:507895,00:49:092020
2,Amelia,freestyle,01:03:528697,01:02:941681,01:03:306255
2,Amelia,backstroke,01:10:604008,01:10:351960,01:10:329389
2,Amelia,butterfly,00:47:723055,00:48:122023,00:47:980342
2,Amelia,breaststroke,01:06:239258,01:05:596469,01:05:989192
2,Elizabeth,freestyle,00:49:502052,00:49:225110,00:49:404754
2,Elizabeth,backstroke,00:45:267795,00:44:930350,00:45:365475
2,Elizabeth,butterfly,00:45:246093,00:44:360477,00:45:041763
2,Elizabeth,breaststroke,00:53:754064,00:53:997149,00:53:987554
2,Sofia,freestyle,01:10:889564,01:10:403183,01:11:378683
2,Sofia,backstroke,00:57:391279,00:57:426780,00:57:542437
2,Sofia,butterfly,01:00:111352,00:59:903755,00:59:993868
2,Sofia,breaststroke,01:12:026132,01:11:432247,01:11:635353
2,Evelyn,freestyle,00:34:131992,00:33:995315,00:34:460380
2,Evelyn,backstroke,01:07:284091,01:06:459021,01:06:549316
2,Evelyn,butterfly,00:53:300683,00:53:460778,00:53:092266
2,Evelyn,breaststroke,01:02:437952,01:03:013858,01:02:685321
2,Avery,freestyle,00:48:433739,00:48:637942,00:48:209175
2,Avery,backstroke,01:08:506583,01:08:301109,01:08:357469
2,Avery,butterfly,00:47:408069,00:47:549325,00:48:111768
2,Avery,breaststroke,00:34:887566,00:34:831212,00:34:117882
2,Chloe,freestyle,00:58:217627,00:57:749093,00:57:845637
2,Chloe,backstroke,01:01:120722,01:01:397875,01:01:025638
2,Chloe,butterfly,00:54:940879,00:54:991619,00:54:424463
2,Chloe,breaststroke,00:54:456620,00:54:444180,00:54:002970
2,Ella,freestyle,00:59:688775,00:59:756729,01:00:366311
2,Ella,backstroke,00:49:702177,00:50:244649,00:49:971291
2,Ella,butterfly,01:01:485568,01:01:949803,01:01:520490
2,Ella,breaststroke,01:04:677025,01:04:546106,01:04:194535
2,Grace,freestyle,00:50:037937,00:50:350389,00:50:704073
2,Grace,backstroke,00:51:974742,00:52:014552,00:52:336877
2,Grace,butterfly,00:57:701021,00:57:457624,00:58:024999
2,Grace,breaststroke,00:50:041520,00:50:070352,00:49:825712
2,Victoria,freestyle,01:03:540729,01:04:071380,01:03:918691
2,Victoria,backstroke,00:41:098763,00:41:458797,00:41:788262
2,Victoria,butterfly,01:01:465092,01:01:443241,01:01:115969
